year,region,province,city,position,candidate_name,party,votes
2013,region-3,zambales,castillejos,"MEMBER, SANGGUNIANG BAYAN","TAMORIA, MHON",IND,1635
2013,region-3,zambales,iba,MAYOR,"EBDANE, RUNDY",SZP,9422
2013,region-3,zambales,iba,MAYOR,"DELOSO, AD HEBERT",LP,7573
2013,region-3,zambales,iba,MAYOR,"MAYORMITA, LYDIA",IND,524
2013,region-3,zambales,iba,MAYOR,"DE GUZMAN, VICTOR",IND,280
2013,region-3,zambales,iba,VICE-MAYOR,"FARIN, BENJAMIN JR.",IND,5016
2013,region-3,zambales,iba,VICE-MAYOR,"PAMOLERAS, DANNY",IND,4737
2013,region-3,zambales,iba,VICE-MAYOR,"FORTIN, ZALDY",LP,2689
2013,region-3,zambales,iba,VICE-MAYOR,"YAP, ISAGANI",SZP,2462
2013,region-3,zambales,iba,VICE-MAYOR,"HUANG, PANCHO",LAKAS,2340
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","TABILE, LANIE",LP,6447
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","MONTEFALCON, GERRY",IND,6365
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","ALDEA, FRANK",LP,6339
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","FALLORIN, AL",LP,6251
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","REDONDO, BADONG",SZP,4885
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","BALLESTEROS, DANNY",SZP,4315
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","BUTARAN, LILIA",SZP,3994
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","SARMIENTO, NOEL",IND,3836
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","AGUILA, DING",SZP,3827
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","CORTES, NANI",LP,3628
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","BACSAL, IKONG",LP,3463
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","MILLADO, ROBERT",SZP,3453
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","UY, HENRY",SZP,3371
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","CALIMLIM, RAUL",IND,3165
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","NERO, LOVEN",LP,2832
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","DELOS REYES, JOJO",IND,2729
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","MAUHAY, RUBEN",SZP,2694
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","BUGARIN, RAMON",UNA,2652
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","SIMEON, ROGEL",LP,2276
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","ANGELES, ATANACIO",SZP,2248
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","UMALI, REFONZO JR.",IND,2191
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","PAMPLONA, SENEN",LP,2104
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","FORTIN, PAULO",IND,2100
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","CALIMLIM, EDDIE",IND,1999
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","DELA CRUZ, AGIE",IND,1978
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","BUTARAN, RUEL",IND,1932
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","BUGARIN, DANNY",IND,1901
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","CARREON, BENJAMIN",IND,1826
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","PAYUMO, CEFERINO",IND,1741
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","MAGNO, REMEGIO",IND,1658
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","DE GUZMAN, BRENDA",IND,1635
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","MORALES, EDUARDO",IND,1579
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","ENRIQUEZ, ROMY",IND,1533
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","LEYNES, RICARDO",IND,1266
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","BALTAZAR, EDMOND",IND,1205
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","BUAN, VALYN",IND,1183
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","ALBAY, GIL",IND,1087
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","ESCUSA, LUI",IND,942
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","DELA CRUZ, SHERWYN",IND,865
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","MAS, SAM",IND,811
2013,region-3,zambales,iba,"MEMBER, SANGGUNIANG BAYAN","REYES, THEL",IND,731
2013,region-3,zambales,masinloc,MAYOR,"EDORA, DESIREE",SZP,8165
2013,region-3,zambales,masinloc,MAYOR,"LIM, SENYANG",IND,6579
2013,region-3,zambales,masinloc,MAYOR,"ELAYDA, GLENN",IND,55
2013,region-3,zambales,masinloc,VICE-MAYOR,"BAUTISTA, JEFFREY",SZP,5634
2013,region-3,zambales,masinloc,VICE-MAYOR,"EAMILAO, BOB",NP,4581
2013,region-3,zambales,masinloc,VICE-MAYOR,"DIMACULANGAN, PEPITO",IND,4451
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","FIGUERREZ, SIR FRED",SZP,7933
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","EBARLE, KAYONG",IND,7080
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","EJANDA-JUAREZ, GIGI",LP,6467
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","SISON, SORAYDA",SZP,6432
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","DIMACULANGAN, NORMAN",IND,5593
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","ASUNCION, DIOSDADO JR.",IND,4987
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","MAYOLA, NELSON",IND,4797
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","ESTELLA, ROLEX",SZP,4724
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","AQUINO, ARNEL",IND,4399
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","EDORA, XAVIER",SZP,4339
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","ERMITAÑO, DAVID",SZP,4274
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","EAMILAO, DANIEL",SZP,4095
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","TAJA, EDGARDO",IND,3946
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","EMPEÑO, MANUEL III",SZP,3845
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","EAMILAO, TITUS",IND,3842
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","SALEM, ARNEL",IND,3660
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","ELBO, ROMMEL",IND,3580
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","EBILANE, HELEN",SZP,3356
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","ACIERTO, NORMAN",IND,2819
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","ECHON, RAYMUNDO",IND,2014
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","SUBEJANO, ESTER",IND,1967
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","MERZA, JUDE THADDEU",IND,1174
2013,region-3,zambales,masinloc,"MEMBER, SANGGUNIANG BAYAN","EBID, HONORIO",IND,357
2013,region-3,zambales,olongapo-city,MAYOR,"PAULINO, ROLEN",NPC/SZP,11654
2013,region-3,zambales,olongapo-city,MAYOR,"GORDON, ANNE",BBAYAN,7686
2013,region-3,zambales,olongapo-city,MAYOR,"DE LOS REYES, BUGSY",IND,2810
2013,region-3,zambales,olongapo-city,VICE-MAYOR,"CEREZO, RODEL",BBAYAN,8262
2013,region-3,zambales,olongapo-city,VICE-MAYOR,"GORDON, BRIAN",IND,5263
2013,region-3,zambales,olongapo-city,VICE-MAYOR,"LIPUMANO, LUGIE",LP/SZP,5144
2013,region-3,zambales,olongapo-city,VICE-MAYOR,"MAGSAYSAY, VIC-VIC",UNA,3104
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","MARZAN-ESTRELLA, TET",BBAYAN,13781
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","CORTEZ, JONG",IND,12342
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","PIANO, ED",BBAYAN,11995
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","GUERRERO, ED",BBAYAN,11983
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","DABU, ELLEN",BBAYAN,11314
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","CAJUDO, BJ",BBAYAN,11267
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","ATIENZA, NOEL",NP/SZP,11113
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","ORTIZ, WINNIE",BBAYAN,10960
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","ELANE, EDNA",BBAYAN,8777
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","BACAY, LINUS",LP/SZP,7883
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","LOBOS, CESAR",BBAYAN,7428
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","GUEVARRA, GIBBS",BBAYAN,7104
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","AQUINO, ANTHONY",BBAYAN,6621
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","BALOY, GIE",LP/SZP,6290
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","BATAPA, ZAR",IND,6239
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","SANTIAGO, CESAR",NPC/SZP,4617
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","MANIAGO, FRANCIS",NP/SZP,4531
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","MANALANG, ERMA",IND,4050
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","BUENAFE, BERT",NPC/SZP,3630
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","LIM, RAFAEL",LP/SZP,2883
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","BURNS, CHARLES JR.",NP/SZP,2755
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","NOBLES, JUN",LP/SZP,2160
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","PANGCATAN, ARNEL",IND,1580
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","TRINIDAD, FERDINAND",IND,1472
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","TRILLO, MICHAEL",NPC/SZP,1075
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","QUINTO, JULITO",IND,983
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","ESCANO, ALICIA",IND,885
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","MANUEL, GODOFREDO",IND,789
2013,region-3,zambales,olongapo-city,"MEMBER, SANGGUNIANG PANLUNGSOD","GALVEZO, OGIE",PMP,645
2013,region-3,zambales,palauig,MAYOR,"AMOG, GENEROSO",SZP,7368
2013,region-3,zambales,palauig,MAYOR,"GUATLO, ROSIE",LP,6129
2013,region-3,zambales,palauig,MAYOR,"APUYAN, ERNESTO",IND,163
2013,region-3,zambales,palauig,VICE-MAYOR,"AMITA, JOEL",LP,7116
2013,region-3,zambales,palauig,VICE-MAYOR,"ANGULO, ARNALDO",SZP,6115
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","ALBA, ERIC",IND,6838
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","EGALLA, FREDERICK",SZP,5841
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","SEVILLA, FRED",LP,5754
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","CATOLICO, FERDINAND",SZP,5669
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","ANAUD, BRYAN",IND,5474
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","PARADEZA, DAN",SZP,5397
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","ARANDA, JAMES",IND,5274
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","DEL FIERRO, ELENITA",SZP,4494
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","DOCUYANAN, MARIO",IND,4483
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","ACUPAN, MELCHOR",LP,4460
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","SEVILLA, ROMULO",SZP,4191
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","EBALOBO, JAY",LP,4082
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","MAPA, RAUL",IND,3981
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","MALIBERAN, CRISPIN",SZP,3836
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","NACIN, FEDERICO JR.",IND,3776
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","YAP, SONNY",SZP,3131
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","LABORCE, JUANCHO",LP,2594
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","CECILIO, BOY",LP,2357
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","EDORA, EDGAR",IND,2113
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","MOJICA, PAQUITO",SZP,2085
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","GIRON, NOEL",LP,1381
2013,region-3,zambales,palauig,"MEMBER, SANGGUNIANG BAYAN","ANGULO, LEONARDO SR.",IND,1262
2013,region-3,zambales,san-antonio,MAYOR,"ANTIPOLO, ESTELA",LP,4477
2013,region-3,zambales,san-antonio,MAYOR,"LONZANIDA, LEO",SZP,3700
2013,region-3,zambales,san-antonio,MAYOR,"ARATEA, EFREN",UNA,2566
2013,region-3,zambales,san-antonio,MAYOR,"ALVEZ, DON JUAN",IND,2535
2013,region-3,zambales,san-antonio,VICE-MAYOR,"RAGADIO, LUGIL",IND,8055
2013,region-3,zambales,san-antonio,VICE-MAYOR,"ARCALA, RAUL",UNA,1917
2013,region-3,zambales,san-antonio,VICE-MAYOR,"CANONIZADO, CORAZON",LP,1418
2013,region-3,zambales,san-antonio,VICE-MAYOR,"CONCEPCION, TONY",SZP,1243
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","GONZALES, JUST",IND,5439
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","CANTIL, NORMAN",LP,4860
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","EVANGELISTA, LESTER",UNA,3962
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","ARLANTICO, JOVY",SZP,3745
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","EVANGELISTA, CRISTY",UNA,3662
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","GARCIA, ODON",UNA,3602
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","FABROS, NILFREDO",UNA,3304
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","RIZADO, LOLO",UNA,3043
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","ABLOG, ANTONIO",UNA,3040
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","MAIGUE, WILMA",UNA,2628
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","ADAJAR, PRIMO JR.",LP,2604
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","RUELOS, MARINO JR.",SZP,2484
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","YAMBAO, FREDERICK",SZP,2458
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","SANTIAGO, MANUEL",LP,2323
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","MAGGAY, RUBEN",IND,2149
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","ABIVA, AMOR",LP,2083
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","SADERNAS, ERWELL",SZP,1988
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","ARIZALA, ROMY",LP,1963
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","EVANGELISTA, EDWARD",IND,1958
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","DUQUE, SILVESTRE",LP,1920
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","TORRES, REY",UNA,1864
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","REYES, SALLY",SZP,1776
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","HERNANDEZ, ARIES",SZP,1669
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","PADUA, BOBBY",LP,1529
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","EVANGELISTA, MANUEL",LP,1470
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","LABRADOR, EFREN",SZP,1383
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","ECHEM, HERNANDO JR.",SZP,1282
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","FERNANDEZ, ARCHIE",IND,1223
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","CALLO, ERIC",IND,1035
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","RAMIREZ, EDGAR",IND,750
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","RUBRICA, MARIO",IND,721
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","GAPAN, RODOLFO JR.",IND,449
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","CADIENTE, ARCHER",IND,273
2013,region-3,zambales,san-antonio,"MEMBER, SANGGUNIANG BAYAN","JUAREZ, ERICH",IND,141
2013,region-3,zambales,san-felipe,MAYOR,"FARIÑAS, CAROLYN",SZP,3795
2013,region-3,zambales,san-felipe,MAYOR,"DELA CRUZ, EDGAR",LAKAS,2659
2013,region-3,zambales,san-felipe,MAYOR,"ROSETE, BULAN",LP,1686
2013,region-3,zambales,san-felipe,MAYOR,"FAJOTINA, ALEX",IND,9
2013,region-3,zambales,san-felipe,VICE-MAYOR,"TORRES, ROBERT",LP,2791
2013,region-3,zambales,san-felipe,VICE-MAYOR,"ARANDA, FELIX",SZP,2179
2013,region-3,zambales,san-felipe,VICE-MAYOR,"LADRINGAN, ALDEN",IND,2128
2013,region-3,zambales,san-felipe,VICE-MAYOR,"ROSETE, FRANCISCO JR.",IND,714
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","FARRALES, LEO",SZP,3916
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","SAHAGUN, LYNN",SZP,3664
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","QUIBA, MARY ANN",SZP,3507
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","FORTIN, BONIE",SZP,3208
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","ABIVA, MANNY",SZP,3105
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","ABLIAN, RAMIL",SZP,3029
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","CORPUZ, HONOFRE",LP,2887
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","BASA, MELISSA",IND,2728
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","FAMULERAS, FERDIE",SZP,2651
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","MICLAT, IAN",IND,2481
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","DORIA, FRANCISCO",SZP,2425
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","MARIANO, MJ",IND,1836
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","MALALA, NOEL",LP,1828
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","ABAD, DIOMEDES",LP,1576
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","REYES, TIBURCIO JR.",LP,1283
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","DASIG, RODELIO",IND,1263
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","ARRIOLA, LEVI RON",IND,1121
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","ROSETE, AMON",LP,938
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","SEBASTIAN, OSCAR",IND,932
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","PAREJA, JOEY",IND,864
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","ACIERTO, OFELIA",LP,806
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","ABO, BENJIE",LP,788
2013,region-3,zambales,san-felipe,"MEMBER, SANGGUNIANG BAYAN","GALFO, TESSIE",IND,147
2013,region-3,zambales,san-marcelino,MAYOR,"RODRIGUEZ, JOSE",SZP,10838
2013,region-3,zambales,san-marcelino,VICE-MAYOR,"SORIA, ELVIS",SZP,9750
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","DALUPANG, GERALDO",LP,7001
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","CANLAS, IRENE",SZP,6459
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","FABUNAN, DANIEL",SZP,6397
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","MANANGAN, GEORGE",SZP,6131
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","ABELON, POLLIE",IND,5820
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","ILAO, LORNA",IND,5677
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","RODRIGUEZ, CECILIA",SZP,5485
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","RAVELO, OMAR",SZP,4851
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","MAURICIO, JUN",SZP,4814
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","DUEÑAS, EDGARDO",SZP,4655
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","ALEJANDRO, MORING",SZP,4647
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","VELANO, GILBERT",LP,3493
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","BIAG, WILSON",LP,2957
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","MONJE, EDWIN",IND,1900
2013,region-3,zambales,san-marcelino,"MEMBER, SANGGUNIANG BAYAN","LADRINGAN, DANILO",LP,1773
2013,region-3,zambales,san-narciso,MAYOR,"LIM, PETER",SZP,5073
2013,region-3,zambales,san-narciso,MAYOR,"MANANGAN, JOEL",IND,4710
2013,region-3,zambales,san-narciso,MAYOR,"ARICHEA, SEBASTIAN",LP,2357
2013,region-3,zambales,san-narciso,MAYOR,"ALMAZAN, SONNY",IND,129
2013,region-3,zambales,san-narciso,VICE-MAYOR,"RAYMAN, ELIZABETH",SZP,5598
2013,region-3,zambales,san-narciso,VICE-MAYOR,"RITUAL, RICHARD LANCE",IND,4598
2013,region-3,zambales,san-narciso,VICE-MAYOR,"MUÑOZ, DANILO",LP,1418
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","MAYBITUIN, MENANDRO",SZP,5736
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","ABINSAY, FERDINAND",SZP,5565
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","LIGSAY, GENER",SZP,4735
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","CABILES, RONALD",LP,4060
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","FABILEÑA, EUGENE",SZP,3678
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","TORRES, ADOR",SZP,3599
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","PAZ, BIENVENIDO JR.",LP,3381
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","ALVARADO, DAN",LP,3023
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","ALCONES, ARMANDO JR.",SZP,2958
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","RAMOS, ADONIS",LP,2703
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","FONTIMAYOR, AMOR",SZP,2661
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","FLORITA, RIZALINO",SZP,2299
2013,region-3,zambales,san-narciso,"MEMBER, SANGGUNIANG BAYAN","OBISPO, ROBERTO",IND,2021
