region,province,city,district,position,candidate_name,party,votes
REGION IV B,ORIENTAL MINDORO,,,GOVERNOR,"DOLOR, BONZ",GSM,235935
REGION IV B,PALAWAN,,,GOVERNOR,"ALVAREZ, AMY",PPP,264363
REGION III,PAMPANGA,,,GOVERNOR,"PINEDA, NANAY LILIA",KMBLN,709694
REGION I,PANGASINAN,,,GOVERNOR,"GUICO, RAMON III",NP,881307
REGION IV A,QUEZON,,,GOVERNOR,"TAN, DOKTORA HELEN",STAN Q,1011465
REGION II,QUIRINO,,,GOVERNOR,"CUA, DAX",PFP,97595
REGION IV A,RIZAL,,,GOVERNOR,"YNARES, NINA",NPC,884132
REGION IV B,ROMBLON,,,GOVERNOR,"FIRMALO-FABIC, TRINA",LP,93425
REGION VIII,SAMAR,,,GOVERNOR,"TAN, ANN",NP,419470
REGION XII,SARANGANI,,,GOVERNOR,"PACQUIAO, ROGELIO",PFP,155989
NEGROS ISLAND REGION,SIQUIJOR,,,GOVERNOR,"VILLA, JEC-JEC",PFP,42149
REGION V,SORSOGON,,,GOVERNOR,"HAMOR, BOBOY",NPC,339284
REGION XII,SOUTH COTABATO,,,GOVERNOR,"TAMAYO, REYNALDO JR.",PFP,346611
REGION VIII,SOUTHERN LEYTE,,,GOVERNOR,"MERCADO, DAMIAN",LAKAS,126536
REGION XII,SULTAN KUDARAT,,,GOVERNOR,"MANGUDADATU, DATU PAX",LAKAS,302401
REGION IX,SULU,,,GOVERNOR,"TAN, ABDUSAKUR II",LAKAS,362388
REGION XIII,SURIGAO DEL NORTE,,,GOVERNOR,"BARBERS, LYNDON",NP,174675
REGION XIII,SURIGAO DEL SUR,,,GOVERNOR,"PIMENTEL, JOHNNY",NUP,252477
REGION III,TARLAC,,,GOVERNOR,"YAP, CHRISTIAN",SST,482338
BARMM,TAWI TAWI,,,GOVERNOR,"SALI, YSHMAEL",PFP,133217
REGION III,ZAMBALES,,,GOVERNOR,"EBDANE, JUN",SZP,306367
REGION IX,ZAMBOANGA DEL NORTE,,,GOVERNOR,"UY, DAREL DEXTER",LAKAS,366165
REGION IX,ZAMBOANGA DEL SUR,,,GOVERNOR,"YU, DIVINA GRACE",LAKAS,320389
REGION IX,ZAMBOANGA SIBUGAY,,,GOVERNOR,"HOFER, ANN",PFP,203473
CORDILLERA ADMINISTRATIVE REGION,ABRA,,,VICE GOVERNOR,"BERSAMIN, ANNE",PFP,130127
REGION XIII,AGUSAN DEL NORTE,,,VICE GOVERNOR,"CORVERA, RICO",PDPLBN,168556
REGION XIII,AGUSAN DEL SUR,,,VICE GOVERNOR,"PLAZA, ATE PAT",NUP,214614
REGION VI,AKLAN,,,VICE GOVERNOR,"CALIZO, DEXTER",LAKAS,151921
REGION V,ALBAY,,,VICE GOVERNOR,"CO, DIDAY",LAKAS,400631
REGION VI,ANTIQUE,,,VICE GOVERNOR,"REYES, GENEVIVE",NUP,143656
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,,VICE GOVERNOR,"BULUT, KYLE",LAKAS,56046
REGION III,AURORA,,,VICE GOVERNOR,"GALBAN, SID",LDP,58962
BARMM,BASILAN,,,VICE GOVERNOR,"HATAMAN SALLIMAN, JIM",PFP,151236
REGION III,BATAAN,,,VICE GOVERNOR,"GARCIA, CRIS",PFP,350668
REGION II,BATANES,,,VICE GOVERNOR,"NANUD, JHONG",PFP,3269
REGION IV A,BATANGAS,,,VICE GOVERNOR,"MANDANAS, DODO",PDPLBN,821380
CORDILLERA ADMINISTRATIVE REGION,BENGUET,,,VICE GOVERNOR,"FONGWAN-KEPES, MARIEROSE LAKAS",,116169
REGION VIII,BILIRAN,,,VICE GOVERNOR,"ESPINA-PARAS, ROSELYN",LAKAS,67506
REGION VII,BOHOL,,,VICE GOVERNOR,"BESAS, NICK",NP,420658
REGION X,BUKIDNON,,,VICE GOVERNOR,"QUIÑO, CLIVE",BPP,431934
REGION III,BULACAN,,,VICE GOVERNOR,"CASTRO, ALEX",NUP,1360020
REGION II,CAGAYAN,,,VICE GOVERNOR,"MAMBA, MANUEL",NP,348954
REGION V,CAMARINES NORTE,,,VICE GOVERNOR,"ASCUTIA, JOSEPH",LP,188443
REGION V,CAMARINES SUR,,,VICE GOVERNOR,"FORTUNO, SAL JR.",NUP,571675
REGION X,CAMIGUIN,,,VICE GOVERNOR,"ROMUALDO, DAN-DAN",PFP,40857
REGION VI,CAPIZ,,,VICE GOVERNOR,"MAGBANUA, JAMESMITANG",1CAPIZ,281856
REGION V,CATANDUANES,,,VICE GOVERNOR,"FERNANDEZ, OBET",LAKAS,91011
REGION IV A,CAVITE,,,VICE GOVERNOR,"BAUTISTA, RAM REVILLA",LAKAS,1178445
REGION VII,CEBU,,,VICE GOVERNOR,"SOCO, GLENN",1CEBU,1090199
REGION XII,COTABATO,,,VICE GOVERNOR,"TARAY, ELLA",LAKAS,349374
REGION XI,DAVAO DE ORO,,,VICE GOVERNOR,"GONZAGA, DOROTHY",PFP,239661
REGION XI,DAVAO DEL NORTE,,,VICE GOVERNOR,"JUBAHIB, CLARICE",PFP,226663
REGION XI,DAVAO DEL SUR,,,VICE GOVERNOR,"CAGAS, MARC",NP,259364
REGION XI,DAVAO OCCIDENTAL,,,VICE GOVERNOR,"BANDIGAN, LORNA",LAKAS,99030
REGION XI,DAVAO ORIENTAL,,,VICE GOVERNOR,"RABAT-GAYTA, GLENDA",NP,185283
REGION XIII,DINAGAT ISLANDS,,,VICE GOVERNOR,"ECLEO, JADE",PFP,36069
REGION VIII,EASTERN SAMAR,,,VICE GOVERNOR,"SISON, MARICAR",PFP,166525
REGION VI,GUIMARAS,,,VICE GOVERNOR,"GUMARIN, CECILE",NUP,83180
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,,,VICE GOVERNOR,"HABAWEL, OMAR",PDPLBN,67874
REGION I,ILOCOS NORTE,,,VICE GOVERNOR,"MANOTOC, MATTHEW MARCOS",NP,313943
REGION I,ILOCOS SUR,,,VICE GOVERNOR,"SINGSON, RYAN",BILEG,331144
REGION VI,ILOILO,,,VICE GOVERNOR,"DEBUQUE, LEE ANN",PFP,547462
REGION II,ISABELA,,,VICE GOVERNOR,"DY, KIKO",LAKAS,566489
CORDILLERA ADMINISTRATIVE REGION,KALINGA,,,VICE GOVERNOR,"ODIEM, DAVE",PFP,44033
REGION I,LA UNION,,,VICE GOVERNOR,"SIBUMA, ERIC",LAKAS,286987
REGION IV A,LAGUNA,,,VICE GOVERNOR,"CARAIT, ATTY. JM",LAKAS,538905
REGION X,LANAO DEL NORTE,,,VICE GOVERNOR,"LIM, ALLAN",LAKAS,211476
BARMM,LANAO DEL SUR,,,VICE GOVERNOR,"ADIONG, MUJAM",LAKAS,336390
REGION VIII,LEYTE,,,VICE GOVERNOR,"JAVIER, SANDY",NPC,569092
BARMM,MAGUINDANAO DEL NORTE,,,VICE GOVERNOR,"SINSUAT, MARSHALL",UBJP,198233
BARMM,MAGUINDANAO DEL SUR,,,VICE GOVERNOR,"NANDO, HISHAM",UBJP,183625
REGION IV B,MARINDUQUE,,,VICE GOVERNOR,"BACORRO, DOC ROMULO",IND,75930
REGION V,MASBATE,,,VICE GOVERNOR,"TALISIC, FERNANDO",LAKAS,266311
REGION X,MISAMIS OCCIDENTAL,,,VICE GOVERNOR,"GUTIERREZ, ROWENA",ASPIN,285168
REGION X,MISAMIS ORIENTAL,,,VICE GOVERNOR,"PELAEZ, JIGJAG",LAKAS,285650
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,,,VICE GOVERNOR,"DOMINGUEZ, JET",IND,46633
NEGROS ISLAND REGION,NEGROS OCCIDENTAL,,,VICE GOVERNOR,"ALONSO, JOEBEN",NUP,680339
NEGROS ISLAND REGION,NEGROS ORIENTAL,,,VICE GOVERNOR,"DIAZ, FRITZ",PFP,280725
REGION VIII,NORTHERN SAMAR,,,VICE GOVERNOR,"DATO, CLARENCE",PFP,189057
REGION III,NUEVA ECIJA,,,VICE GOVERNOR,"UMALI, LEMON",SIGAW,812198
REGION II,NUEVA VIZCAYA,,,VICE GOVERNOR,"DACAYO, EUFEMIA",AKSYON,96129
REGION IV B,OCCIDENTAL MINDORO,,,VICE GOVERNOR,"APIGO-TAYAG, DIANA",PFP,161841
REGION IV B,ORIENTAL MINDORO,,,VICE GOVERNOR,"PEREZ, CA JOJO",MBS,192571
REGION IV B,PALAWAN,,,VICE GOVERNOR,"OLA, ONSOY",PPP,234749
REGION III,PAMPANGA,,,VICE GOVERNOR,"PINEDA, DENNIS DELTA",NPC,751077
REGION I,PANGASINAN,,,VICE GOVERNOR,"LAMBINO, MARK",LAKAS,1022160
REGION IV A,QUEZON,,,VICE GOVERNOR,"ALCALA, THIRD",STAN Q,851518
REGION II,QUIRINO,,,VICE GOVERNOR,"VAQUILAR, JOJO",PFP,83977
REGION IV A,RIZAL,,,VICE GOVERNOR,"GATLABAYAN, PINING",NPC,600553
REGION IV B,ROMBLON,,,VICE GOVERNOR,"GUTIERREZ, ARMING",PFP,81785
REGION VIII,SAMAR,,,VICE GOVERNOR,"TAN, ARNOLD",PFP,405879
REGION XII,SARANGANI,,,VICE GOVERNOR,"MARTINEZ, BOGI",PCM,115321
NEGROS ISLAND REGION,SIQUIJOR,,,VICE GOVERNOR,"TUMALA, DINDO",PFP,40684
REGION V,SORSOGON,,,VICE GOVERNOR,"ESCUDERO, JUN",NPC,275839
REGION XII,SOUTH COTABATO,,,VICE GOVERNOR,"PINGOY, DODO",PFP,331376
REGION VIII,SOUTHERN LEYTE,,,VICE GOVERNOR,"MERCADO, MILAI",LAKAS,139765
REGION XII,SULTAN KUDARAT,,,VICE GOVERNOR,"SAKALURAN,PRINCE RADEN",LAKAS,286550
REGION IX,SULU,,,VICE GOVERNOR,"TAN, ABDUSAKUR",LAKAS,360287
REGION XIII,SURIGAO DEL NORTE,,,VICE GOVERNOR,"GOKIANGKEE, GEED",NP,214332
REGION XIII,SURIGAO DEL SUR,,,VICE GOVERNOR,"ALAMEDA, MANGI",PFP,237575
REGION III,TARLAC,,,VICE GOVERNOR,"AQUINO, LITA",NPC,349308
BARMM,TAWI TAWI,,,VICE GOVERNOR,"SALI, AL-SYED",PFP,142259
REGION III,ZAMBALES,,,VICE GOVERNOR,"KHONGHUN, JAQ",LAKAS,279807
REGION IX,ZAMBOANGA DEL NORTE,,,VICE GOVERNOR,"NAPIGQUIT, JULIUS",LAKAS,348789
REGION IX,ZAMBOANGA DEL SUR,,,VICE GOVERNOR,"ARIOSA, ROY",PFP,321985
REGION IX,ZAMBOANGA SIBUGAY,,,VICE GOVERNOR,"OLEGARIO, RIC-RIC",NP,168855
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"CECILIA, JANE",PFP,47217
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"DE LA PAZ, RUDY",PFP,32051
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"BERNARDEZ, RUY",PFP,29954
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"DOMINGO, GLANNIE",PFP,28803
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"ABAYA, PAT",PFP,66503
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"ALZATE, BYRONE",PFP,64867
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"SEARES, MARK FROILAN",PFP,63924
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"BERSAMIN, LUIS JOROBOTSIV",NPC,60710
REGION XIII,AGUSAN DEL NORTE,,FIRST,PROVINCIAL BOARD MEMBER,"LIM, RYAN JADE",PDPLBN,86478
REGION XIII,AGUSAN DEL NORTE,,FIRST,PROVINCIAL BOARD MEMBER,"FAMADOR, NIEVA",PDPLBN,86451
REGION XIII,AGUSAN DEL NORTE,,FIRST,PROVINCIAL BOARD MEMBER,"JAMBOY, REY",PDPLBN,85032
REGION XIII,AGUSAN DEL NORTE,,FIRST,PROVINCIAL BOARD MEMBER,"ASIO, ALAN",IND,78272
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"CHAN, FRANCISCO JR",PDPLBN,54635
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"RESERVA, JAMES",PDPLBN,52158
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"DANO, ERWIN",PDPLBN,52047
REGION XIII,AGUSAN DEL NORTE,,SECOND,PROVINCIAL BOARD MEMBER,"ESCASIÑAS, VIRGILIO",PDPLBN,51829
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"ALONDE, CESAR",NUP,89643
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"CEBALLOS, GINA",NUP,82806
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"MASENDO, JESRYL",NUP,80671
REGION XIII,AGUSAN DEL SUR,,FIRST,PROVINCIAL BOARD MEMBER,"MANPATILAN, NILO",NUP,78516
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"TORTOR, SAMMY",NUP,91033
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"ELORDE, COX",NUP,84667
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"PLAZA, JOSEPH",NUP,83545
REGION XIII,AGUSAN DEL SUR,,SECOND,PROVINCIAL BOARD MEMBER,"YUCOSING, PAMELA",NUP,79623
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"BAUTISTA, MARK ACE",PFP,90558
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"QUIMPO, ATTY. BOY",LAKAS,88998
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"QUIMPO, MARK",LAKAS,86430
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"TUPAS, TEDDY",LAKAS,66252
REGION VI,AKLAN,,FIRST,PROVINCIAL BOARD MEMBER,"CLEOPE, APOL",PFP,54434
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"HARESCO, JOSE",NP,92199
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"DALISAY, LOLONG",PFP,74398
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"CORDOVA, JOJO",LAKAS,69767
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"LEGASPI, ATTY. BUBI",LP,69542
REGION VI,AKLAN,,SECOND,PROVINCIAL BOARD MEMBER,"GALLENERO, JUPITER",PFP,68247
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"ONRUBIA, SHEINA",LP,110800
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"BONGAO, GIO",LP,103011
REGION V,ALBAY,,FIRST,PROVINCIAL BOARD MEMBER,"ZIGA, CAROL",LAKAS,102597
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"ABADEZA, MELISSA",LAKAS,162149
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"CASULLA, GLENN",LAKAS,135149
REGION V,ALBAY,,SECOND,PROVINCIAL BOARD MEMBER,"IMPERIAL, HAROLD",PDPLBN,114054
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"SALCEDA, CONGCONG",LAKAS,170696
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"ARANDIA, BRAYAN",LAKAS,121428
REGION V,ALBAY,,THIRD,PROVINCIAL BOARD MEMBER,"RIBAYA, MANNY",LAKAS,105427
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"NIQUIA, ATTY DONDON",NPC,61648
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"BERIONG, DANTE",IND,50557
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"PICCIO, VINCENT III",AKSYON,50315
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"TUBIANOSA, DOC BERNS",AKSYON,46278
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"CORVERA, NANDING",NP,42575
REGION VI,ANTIQUE,,FIRST,PROVINCIAL BOARD MEMBER,"FAJARDO, ADE SANTILLAN",LP,39880
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"DIMAMAY, MILAY",IND,83842
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"RECOPUERTO, BABY GAS",NUP,53587
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"PALACIOS, SUEKI",NUP,49152
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"ALOJIPAN, KAPNONONG",NUP,47293
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"ALAMIS, NOEL",NP,46350
REGION VI,ANTIQUE,,SECOND,PROVINCIAL BOARD MEMBER,"SANTILLAN, BOBOT",NUP,35848
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,FIRST,PROVINCIAL BOARD MEMBER,"BETAT, ALISON",NPC,20076
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,FIRST,PROVINCIAL BOARD MEMBER,"LABUENG, JUN",NPC,20015
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,FIRST,PROVINCIAL BOARD MEMBER,"AGNAS-REAL, IYING",LAKAS,19621
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,FIRST,PROVINCIAL BOARD MEMBER,"TALATTAG, VINCENT",NPC,19464
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,SECOND,PROVINCIAL BOARD MEMBER,"BANGSIL, JOSIE",NPC,20729
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,SECOND,PROVINCIAL BOARD MEMBER,"BALLESTEROS, MYLA",LAKAS,19265
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,SECOND,PROVINCIAL BOARD MEMBER,"PASCUA, HECTOR REUEL",NPC,18683
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,SECOND,PROVINCIAL BOARD MEMBER,"LAOAT, RICKY",LAKAS,15515
REGION III,AURORA,,FIRST,PROVINCIAL BOARD MEMBER,"ANGARA, ATTY. PATRICK",LDP,47737
REGION III,AURORA,,FIRST,PROVINCIAL BOARD MEMBER,"ONG, BOBONG",LDP,43972
REGION III,AURORA,,FIRST,PROVINCIAL BOARD MEMBER,"GALBAN, CAPT JAKE",LDP,40986
REGION III,AURORA,,FIRST,PROVINCIAL BOARD MEMBER,"PALMERO, DOKTORA NORMA",LDP,36397
REGION III,AURORA,,SECOND,PROVINCIAL BOARD MEMBER,"TOLENTINO, YAM",LDP,23584
REGION III,AURORA,,SECOND,PROVINCIAL BOARD MEMBER,"AMANSEC, MENARD",LDP,20703
REGION III,AURORA,,SECOND,PROVINCIAL BOARD MEMBER,"ARAÑA, JENNIFER",PFP,20692
REGION III,AURORA,,SECOND,PROVINCIAL BOARD MEMBER,"TABLANG, ENA",IND,17720
BARMM,BASILAN,,FIRST,PROVINCIAL BOARD MEMBER,"SALAIN, NASSER",PFP,65141
BARMM,BASILAN,,FIRST,PROVINCIAL BOARD MEMBER,"ISMAEL, ALLET",PFP,56426
BARMM,BASILAN,,FIRST,PROVINCIAL BOARD MEMBER,"HATAMAN, AMIN",BUP,49987
BARMM,BASILAN,,FIRST,PROVINCIAL BOARD MEMBER,"JAAFAR, FAIGDAR",BUP,47836
BARMM,BASILAN,,SECOND,PROVINCIAL BOARD MEMBER,"ASARUL, MIKO",PFP,89913
BARMM,BASILAN,,SECOND,PROVINCIAL BOARD MEMBER,"ISTARUL, NUR-KHAN",PFP,89627
BARMM,BASILAN,,SECOND,PROVINCIAL BOARD MEMBER,"SAKKALAHUL, KEEMHAR JAY",PFP,88586
BARMM,BASILAN,,SECOND,PROVINCIAL BOARD MEMBER,"HANTIAN, RONIE",BUP,83583
REGION III,BATAAN,,FIRST,PROVINCIAL BOARD MEMBER,"GAZA, ATTY. JOMAR",PFP,77731
REGION III,BATAAN,,FIRST,PROVINCIAL BOARD MEMBER,"SERRANO, MYLENE",NP,71378
REGION III,BATAAN,,FIRST,PROVINCIAL BOARD MEMBER,"GALICIA, DOC BONG",PFP,66106
REGION III,BATAAN,,SECOND,PROVINCIAL BOARD MEMBER,"ROQUE, IYA",NUP,116405
REGION III,BATAAN,,SECOND,PROVINCIAL BOARD MEMBER,"VALDECAÑAS, NOEL",PFP,101538
REGION III,BATAAN,,SECOND,PROVINCIAL BOARD MEMBER,"BALUYOT, VIC",PFP,101279
REGION III,BATAAN,,THIRD,PROVINCIAL BOARD MEMBER,"DEL ROSARIO, POPOY",PFP,109171
REGION III,BATAAN,,THIRD,PROVINCIAL BOARD MEMBER,"SUNGA, ANGEL",NP,99286
REGION III,BATAAN,,THIRD,PROVINCIAL BOARD MEMBER,"ESTANISLAO, DOCTOR JORGE",NUP,96947
REGION II,BATANES,,FIRST,PROVINCIAL BOARD MEMBER,"NICOLAS, ROEL",LP,4165
REGION II,BATANES,,FIRST,PROVINCIAL BOARD MEMBER,"VIOLA, ANN",LP,3982
REGION II,BATANES,,FIRST,PROVINCIAL BOARD MEMBER,"CASTILLO, PIPIN",PFP,3156
REGION II,BATANES,,SECOND,PROVINCIAL BOARD MEMBER,"HOSTALLERO, LEONARDO",PFP,2072
REGION II,BATANES,,SECOND,PROVINCIAL BOARD MEMBER,"GONZALES, CLEO",IND,1964
REGION II,BATANES,,SECOND,PROVINCIAL BOARD MEMBER,"PERALTA, BYRON",NPC,1589
